country_name,hdi_category,indicator_name,values
Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,rank,69
Brazil,HIGH HUMAN DEVELOPMENT,rank,70
Dominica,MEDIUM HUMAN DEVELOPMENT,rank,71
Saint Lucia,MEDIUM HUMAN DEVELOPMENT,rank,72
Kazakhstan,MEDIUM HUMAN DEVELOPMENT,rank,73
Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,rank,74
Colombia,MEDIUM HUMAN DEVELOPMENT,rank,75
Ukraine,MEDIUM HUMAN DEVELOPMENT,rank,76
Samoa,MEDIUM HUMAN DEVELOPMENT,rank,77
Thailand,MEDIUM HUMAN DEVELOPMENT,rank,78
Dominican Republic,MEDIUM HUMAN DEVELOPMENT,rank,79
Belize,MEDIUM HUMAN DEVELOPMENT,rank,80
China,MEDIUM HUMAN DEVELOPMENT,rank,81
Grenada,MEDIUM HUMAN DEVELOPMENT,rank,82
Armenia,MEDIUM HUMAN DEVELOPMENT,rank,83
Turkey,MEDIUM HUMAN DEVELOPMENT,rank,84
Suriname,MEDIUM HUMAN DEVELOPMENT,rank,85
Jordan,MEDIUM HUMAN DEVELOPMENT,rank,86
Peru,MEDIUM HUMAN DEVELOPMENT,rank,87
Lebanon,MEDIUM HUMAN DEVELOPMENT,rank,88
Ecuador,MEDIUM HUMAN DEVELOPMENT,rank,89
Philippines,MEDIUM HUMAN DEVELOPMENT,rank,90
Tunisia,MEDIUM HUMAN DEVELOPMENT,rank,91
Fiji,MEDIUM HUMAN DEVELOPMENT,rank,92
Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,rank,93
Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,rank,94
Paraguay,MEDIUM HUMAN DEVELOPMENT,rank,95
Georgia,MEDIUM HUMAN DEVELOPMENT,rank,96
Guyana,MEDIUM HUMAN DEVELOPMENT,rank,97
Azerbaijan,MEDIUM HUMAN DEVELOPMENT,rank,98
Sri Lanka,MEDIUM HUMAN DEVELOPMENT,rank,99
Maldives,MEDIUM HUMAN DEVELOPMENT,rank,100
Jamaica,MEDIUM HUMAN DEVELOPMENT,rank,101
Cape Verde,MEDIUM HUMAN DEVELOPMENT,rank,102
El Salvador,MEDIUM HUMAN DEVELOPMENT,rank,103
Algeria,MEDIUM HUMAN DEVELOPMENT,rank,104
Viet Nam,MEDIUM HUMAN DEVELOPMENT,rank,105
Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,rank,106
Indonesia,MEDIUM HUMAN DEVELOPMENT,rank,107
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,rank,108
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,rank,109
Nicaragua,MEDIUM HUMAN DEVELOPMENT,rank,110
Moldova,MEDIUM HUMAN DEVELOPMENT,rank,111
Egypt,MEDIUM HUMAN DEVELOPMENT,rank,112
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,rank,113
Mongolia,MEDIUM HUMAN DEVELOPMENT,rank,114
Honduras,MEDIUM HUMAN DEVELOPMENT,rank,115
Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,rank,116
Bolivia,MEDIUM HUMAN DEVELOPMENT,rank,117
Guatemala,MEDIUM HUMAN DEVELOPMENT,rank,118
Gabon,MEDIUM HUMAN DEVELOPMENT,rank,119
Vanuatu,MEDIUM HUMAN DEVELOPMENT,rank,120
South Africa,MEDIUM HUMAN DEVELOPMENT,rank,121
Tajikistan,MEDIUM HUMAN DEVELOPMENT,rank,122
Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,rank,123
Botswana,MEDIUM HUMAN DEVELOPMENT,rank,124
Namibia,MEDIUM HUMAN DEVELOPMENT,rank,125
Morocco,MEDIUM HUMAN DEVELOPMENT,rank,126
Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,rank,127
India,MEDIUM HUMAN DEVELOPMENT,rank,128
Solomon Islands,MEDIUM HUMAN DEVELOPMENT,rank,129
Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,rank,130
Cambodia,MEDIUM HUMAN DEVELOPMENT,rank,131
Myanmar,MEDIUM HUMAN DEVELOPMENT,rank,132
Bhutan,MEDIUM HUMAN DEVELOPMENT,rank,133
Comoros,MEDIUM HUMAN DEVELOPMENT,rank,134
Ghana,MEDIUM HUMAN DEVELOPMENT,rank,135
Pakistan,MEDIUM HUMAN DEVELOPMENT,rank,136
Mauritania,MEDIUM HUMAN DEVELOPMENT,rank,137
Lesotho,MEDIUM HUMAN DEVELOPMENT,rank,138
Congo,MEDIUM HUMAN DEVELOPMENT,rank,139
Bangladesh,MEDIUM HUMAN DEVELOPMENT,rank,140
Swaziland,MEDIUM HUMAN DEVELOPMENT,rank,141
Nepal,MEDIUM HUMAN DEVELOPMENT,rank,142
Madagascar,MEDIUM HUMAN DEVELOPMENT,rank,143
Cameroon,MEDIUM HUMAN DEVELOPMENT,rank,144
Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,rank,145
Haiti,MEDIUM HUMAN DEVELOPMENT,rank,146
Sudan,MEDIUM HUMAN DEVELOPMENT,rank,147
Kenya,MEDIUM HUMAN DEVELOPMENT,rank,148
Djibouti,MEDIUM HUMAN DEVELOPMENT,rank,149
Timor-Leste,MEDIUM HUMAN DEVELOPMENT,rank,150
Zimbabwe,MEDIUM HUMAN DEVELOPMENT,rank,151
Togo,MEDIUM HUMAN DEVELOPMENT,rank,152
Yemen,MEDIUM HUMAN DEVELOPMENT,rank,153
Uganda,MEDIUM HUMAN DEVELOPMENT,rank,154
Gambia,MEDIUM HUMAN DEVELOPMENT,rank,155
Senegal,LOW HUMAN DEVELOPMENT,rank,156
Eritrea,LOW HUMAN DEVELOPMENT,rank,157
Nigeria,LOW HUMAN DEVELOPMENT,rank,158
Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,rank,159
Guinea,LOW HUMAN DEVELOPMENT,rank,160
Rwanda,LOW HUMAN DEVELOPMENT,rank,161
Angola,LOW HUMAN DEVELOPMENT,rank,162
Benin,LOW HUMAN DEVELOPMENT,rank,163
Malawi,LOW HUMAN DEVELOPMENT,rank,164
Zambia,,rank,165
Côte d'Ivoire,,rank,166
Burundi,,rank,167
Congo (Democratic Republic of the),,rank,168
Ethiopia,,rank,169
Chad,,rank,170
Central African Republic,,rank,171
Mozambique,,rank,172
Mali,,rank,173
Niger,,rank,174
Guinea-Bissau,,rank,175
Burkina Faso,,rank,176
Sierra Leone,,rank,177
Iceland,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Norway,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Australia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Canada,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Ireland,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Sweden,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Switzerland,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Japan,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Netherlands,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
France,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Finland,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
United States,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Spain,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Denmark,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Austria,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
United Kingdom,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Belgium,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Luxembourg,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
New Zealand,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Italy,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.0
"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Germany,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Israel,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Greece,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,94.2
Singapore,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,88.6
Korea (Republic of),HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Slovenia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.6
Cyprus,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,95.1
Portugal,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,92.0
Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,90.2
Barbados,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Czech Republic,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Kuwait,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,91.0
Malta,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,89.2
Qatar,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,88.6
Hungary,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Poland,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Argentina,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.2
United Arab Emirates,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,87.8
Chile,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,95.6
Bahrain,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,83.6
Slovakia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Lithuania,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.6
Estonia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.8
Latvia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.7
Uruguay,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.3
Croatia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.1
Costa Rica,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,95.1
Bahamas,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Seychelles,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,92.3
Cuba,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.8
Mexico,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,90.2
Bulgaria,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.7
Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Tonga,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.0
Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,74.8
Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Oman,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,73.5
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.8
Romania,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,96.3
Saudi Arabia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,76.3
Panama,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,91.2
Malaysia,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,85.4
Belarus,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.4
Mauritius,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,80.5
Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,94.4
Russian Federation,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.2
Albania,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.3
Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,94.1
Brazil,HIGH HUMAN DEVELOPMENT,Ad_lit_Fem_rate,88.8
Dominica,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.3
Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,92.7
Colombia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,92.9
Ukraine,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.2
Samoa,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.3
Thailand,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,90.5
Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,87.2
Belize,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
China,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,86.5
Grenada,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Armenia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.2
Turkey,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,79.6
Suriname,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,87.2
Jordan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,87.0
Peru,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,82.5
Lebanon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Ecuador,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,89.7
Philippines,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,93.6
Tunisia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,65.3
Fiji,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,76.8
Paraguay,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,92.7
Georgia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Guyana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.2
Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,89.1
Maldives,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,96.4
Jamaica,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,85.9
Cape Verde,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,75.5
El Salvador,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,79.2
Algeria,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,60.1
Viet Nam,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,86.9
Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,88.0
Indonesia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,86.8
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,73.6
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.3
Nicaragua,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,76.6
Moldova,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.6
Egypt,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,59.4
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Mongolia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,97.5
Honduras,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,80.2
Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,98.1
Bolivia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,80.7
Guatemala,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,63.3
Gabon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,79.7
Vanuatu,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
South Africa,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,80.9
Tajikistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,99.2
Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,77.9
Botswana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,81.8
Namibia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,83.5
Morocco,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,39.6
Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,80.5
India,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,47.8
Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,60.9
Cambodia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,64.1
Myanmar,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,86.4
Bhutan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Comoros,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Ghana,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,49.8
Pakistan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,35.4
Mauritania,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,43.4
Lesotho,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,90.3
Congo,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,79.0
Bangladesh,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,40.8
Swaziland,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,78.3
Nepal,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,34.9
Madagascar,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,65.3
Cameroon,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,59.8
Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,50.9
Haiti,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Sudan,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,51.8
Kenya,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,70.2
Djibouti,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,86.2
Togo,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,38.5
Yemen,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,34.7
Uganda,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,57.7
Gambia,MEDIUM HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Senegal,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,29.2
Eritrea,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,..
Nigeria,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,60.1
Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,62.2
Guinea,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,18.1
Rwanda,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,59.8
Angola,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,54.2
Benin,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,23.3
Malawi,LOW HUMAN DEVELOPMENT,Ad_lit_Fem_rate,54.0
Zambia,,Ad_lit_Fem_rate,59.8
Côte d'Ivoire,,Ad_lit_Fem_rate,38.6
Burundi,,Ad_lit_Fem_rate,52.2
Congo (Democratic Republic of the),,Ad_lit_Fem_rate,54.1
Ethiopia,,Ad_lit_Fem_rate,22.8
Chad,,Ad_lit_Fem_rate,12.8
Central African Republic,,Ad_lit_Fem_rate,33.5
Mozambique,,Ad_lit_Fem_rate,25.0
Mali,,Ad_lit_Fem_rate,15.9
Niger,,Ad_lit_Fem_rate,15.1
Guinea-Bissau,,Ad_lit_Fem_rate,..
Burkina Faso,,Ad_lit_Fem_rate,16.6
Sierra Leone,,Ad_lit_Fem_rate,24.2
Iceland,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Norway,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Australia,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Canada,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Ireland,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Sweden,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Switzerland,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Japan,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Netherlands,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
France,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Finland,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
United States,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Spain,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Denmark,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Austria,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
United Kingdom,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Belgium,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Luxembourg,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
New Zealand,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Italy,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.99
"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Germany,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Israel,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
Greece,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.96
Singapore,HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,0.92
Korea (Republic of),HIGH HUMAN DEVELOPMENT,Ad_lit_rat_femrate_malrate,..
